timestamp,type,proxid,floor,zone
2016-05-3107:36:17,fixed-prox,vawelon001,2,4
2016-05-3107:36:19,fixed-prox,vawelon001,2,1
2016-05-3107:36:19,fixed-prox,jsimonides001,2,1
2016-05-3107:36:19,fixed-prox,wreynoso001,2,1
2016-05-3107:36:34,fixed-prox,jsimonides001,2,7
2016-05-3107:36:36,fixed-prox,wreynoso001,2,2
2016-05-3107:37:00,fixed-prox,thagan001,1,1
2016-05-3107:37:00,fixed-prox,sflecha001,1,1
2016-05-3107:37:10,fixed-prox,gcazar001,1,4
2016-05-3107:37:10,fixed-prox,bridenour001,1,4
2016-05-3107:37:10,fixed-prox,sfusil001,1,4
2016-05-3107:37:51,fixed-prox,bridenour001,2,4
2016-05-3107:37:51,fixed-prox,sfusil001,2,4
2016-05-3107:37:51,fixed-prox,gcazar001,2,4
2016-05-3107:37:53,fixed-prox,sfusil001,2,1
2016-05-3107:37:53,fixed-prox,bridenour001,2,1
2016-05-3107:37:53,fixed-prox,gcazar001,2,1
2016-05-3107:38:00,fixed-prox,ncalixto001,1,1
2016-05-3107:38:12,fixed-prox,gcazar001,2,7
2016-05-3107:38:12,fixed-prox,sfusil001,2,7
2016-05-3107:38:37,fixed-prox,sflecha001,1,4
2016-05-3107:38:37,fixed-prox,thagan001,1,4
2016-05-3107:38:44,fixed-prox,sfusil001,2,3
2016-05-3107:38:52,fixed-prox,vlagos001,1,2
2016-05-3107:39:00,fixed-prox,acalzas001,1,1
2016-05-3107:39:18,fixed-prox,thagan001,2,4
2016-05-3107:39:18,fixed-prox,sflecha001,2,4
2016-05-3107:39:20,fixed-prox,thagan001,2,1
2016-05-3107:39:20,fixed-prox,sflecha001,2,1
2016-05-3107:39:36,fixed-prox,ncalixto001,1,4
2016-05-3107:39:39,fixed-prox,sflecha001,2,7
2016-05-3107:39:40,fixed-prox,thagan001,2,2
2016-05-3107:40:00,fixed-prox,eorilla001,1,1
2016-05-3107:40:00,fixed-prox,bhawelon001,1,1
2016-05-3107:40:00,fixed-prox,pyoung001,1,1
2016-05-3107:40:00,fixed-prox,vfrente001,1,1
2016-05-3107:40:00,fixed-prox,lgrogan001,1,1
2016-05-3107:40:17,fixed-prox,ncalixto001,2,4
2016-05-3107:40:19,fixed-prox,ncalixto001,2,1
2016-05-3107:40:35,fixed-prox,ncalixto001,2,7
2016-05-3107:40:36,fixed-prox,acalzas001,1,4
2016-05-3107:41:00,fixed-prox,bfrente001,1,1
2016-05-3107:41:01,fixed-prox,sfusil001,2,7
2016-05-3107:41:17,fixed-prox,acalzas001,2,4
2016-05-3107:41:19,fixed-prox,acalzas001,2,1
2016-05-3107:41:25,fixed-prox,sfusil001,2,1
2016-05-3107:41:35,fixed-prox,vfrente001,1,4
2016-05-3107:41:35,fixed-prox,lgrogan001,1,4
2016-05-3107:41:35,fixed-prox,bhawelon001,1,4
2016-05-3107:41:35,fixed-prox,eorilla001,1,4
2016-05-3107:41:35,fixed-prox,pyoung001,1,4
2016-05-3107:41:36,fixed-prox,acalzas001,2,2
2016-05-3107:41:49,fixed-prox,sfusil001,2,4
2016-05-3107:42:00,fixed-prox,malinai001,1,1
2016-05-3107:42:00,fixed-prox,vomalla001,1,1
2016-05-3107:42:16,fixed-prox,eorilla001,2,4
2016-05-3107:42:16,fixed-prox,vfrente001,2,4
2016-05-3107:42:16,fixed-prox,bhawelon001,2,4
2016-05-3107:42:16,fixed-prox,pyoung001,2,4
2016-05-3107:42:16,fixed-prox,lgrogan001,2,4
2016-05-3107:42:18,fixed-prox,bhawelon001,2,1
2016-05-3107:42:18,fixed-prox,eorilla001,2,1
2016-05-3107:42:18,fixed-prox,lgrogan001,2,1
2016-05-3107:42:18,fixed-prox,vfrente001,2,1
2016-05-3107:42:31,fixed-prox,vfrente001,2,2
2016-05-3107:42:31,fixed-prox,eorilla001,2,2
2016-05-3107:42:31,fixed-prox,sfusil001,1,4
2016-05-3107:42:33,fixed-prox,bfrente001,1,4
2016-05-3107:42:33,fixed-prox,sfusil001,1,1
2016-05-3107:42:37,fixed-prox,bhawelon001,2,7
2016-05-3107:42:47,fixed-prox,pyoung001,3,4
2016-05-3107:42:49,fixed-prox,pyoung001,3,1
2016-05-3107:42:50,fixed-prox,vomalla001,1,4
2016-05-3107:42:53,fixed-prox,malinai001,1,4
2016-05-3107:42:54,fixed-prox,sfusil001,1,2
2016-05-3107:43:00,fixed-prox,cmorluniau001,1,1
2016-05-3107:43:00,fixed-prox,hmies001,1,1
2016-05-3107:43:00,fixed-prox,eminto001,1,1
2016-05-3107:43:02,fixed-prox,pyoung001,3,3
2016-05-3107:43:15,fixed-prox,bfrente001,2,4
2016-05-3107:43:17,fixed-prox,bfrente001,2,1
2016-05-3107:43:32,fixed-prox,malinai001,2,4
2016-05-3107:43:32,fixed-prox,vomalla001,2,4
2016-05-3107:43:34,fixed-prox,malinai001,2,1
2016-05-3107:43:34,fixed-prox,vomalla001,2,1
2016-05-3107:43:51,fixed-prox,malinai001,2,2
2016-05-3107:44:00,fixed-prox,lalcazar001,1,1
2016-05-3107:44:35,fixed-prox,hmies001,1,4
2016-05-3107:44:35,fixed-prox,eminto001,1,4
2016-05-3107:44:35,fixed-prox,cmorluniau001,1,4
2016-05-3107:45:00,fixed-prox,llagos001,1,1
2016-05-3107:45:00,fixed-prox,lbergen001,1,1
2016-05-3107:45:00,fixed-prox,fmata001,1,1
2016-05-3107:45:00,fixed-prox,hblue001,1,1
2016-05-3107:45:00,fixed-prox,ssinagra001,1,1
2016-05-3107:45:00,fixed-prox,slea001,1,1
2016-05-3107:45:00,fixed-prox,mvollan001,1,1
2016-05-3107:45:16,fixed-prox,hmies001,2,4
2016-05-3107:45:16,fixed-prox,cmorluniau001,2,4
2016-05-3107:45:16,fixed-prox,eminto001,2,4
2016-05-3107:45:18,fixed-prox,hmies001,2,1
2016-05-3107:45:18,fixed-prox,eminto001,2,1
2016-05-3107:45:18,fixed-prox,cmorluniau001,2,1
2016-05-3107:45:36,fixed-prox,cmorluniau001,2,6
2016-05-3107:45:37,fixed-prox,hmies001,2,7
2016-05-3107:45:37,fixed-prox,lalcazar001,1,4
2016-05-3107:45:38,fixed-prox,eminto001,2,2
2016-05-3107:46:11,fixed-prox,hmies001,2,6
2016-05-3107:46:15,fixed-prox,vawelon001,2,4
2016-05-3107:46:18,fixed-prox,lalcazar001,2,4
2016-05-3107:46:20,fixed-prox,lalcazar001,2,1
2016-05-3107:46:35,fixed-prox,lalcazar001,2,7
2016-05-3107:46:35,fixed-prox,lbergen001,1,4
2016-05-3107:46:35,fixed-prox,hblue001,1,4
2016-05-3107:46:35,fixed-prox,ssinagra001,1,4
2016-05-3107:46:35,fixed-prox,fmata001,1,4
2016-05-3107:46:35,fixed-prox,llagos001,1,4
2016-05-3107:46:57,fixed-prox,vawelon001,1,4
2016-05-3107:46:59,fixed-prox,vawelon001,1,1
2016-05-3107:47:00,fixed-prox,jcastellanos001,1,1
2016-05-3107:47:00,fixed-prox,anardi001,1,1
2016-05-3107:47:01,fixed-prox,vlagos001,1,1
2016-05-3107:47:12,fixed-prox,vlagos001,1,4
2016-05-3107:47:16,fixed-prox,fmata001,2,4
2016-05-3107:47:16,fixed-prox,hblue001,2,4
2016-05-3107:47:16,fixed-prox,lbergen001,2,4
2016-05-3107:47:16,fixed-prox,llagos001,2,4
2016-05-3107:47:16,fixed-prox,ssinagra001,2,4
2016-05-3107:47:18,fixed-prox,lbergen001,2,1
2016-05-3107:47:18,fixed-prox,ssinagra001,2,1
2016-05-3107:47:18,fixed-prox,fmata001,2,1
2016-05-3107:47:33,fixed-prox,lbergen001,2,7
2016-05-3107:47:33,fixed-prox,ssinagra001,2,7
2016-05-3107:47:47,fixed-prox,hblue001,3,4
2016-05-3107:47:47,fixed-prox,llagos001,3,4
2016-05-3107:47:49,fixed-prox,hblue001,3,1
2016-05-3107:47:49,fixed-prox,llagos001,3,1
2016-05-3107:47:54,fixed-prox,vlagos001,2,4
2016-05-3107:47:56,fixed-prox,vlagos001,2,1
2016-05-3107:48:00,fixed-prox,jnespola001,1,1
2016-05-3107:48:03,fixed-prox,hblue001,3,2
2016-05-3107:48:12,fixed-prox,llagos001,3,6
2016-05-3107:48:15,fixed-prox,vlagos001,2,7
2016-05-3107:48:20,fixed-prox,llagos001,3,3
2016-05-3107:48:47,fixed-prox,vlagos001,2,3
2016-05-3107:49:00,fixed-prox,kherrero001,1,1
2016-05-3107:50:00,fixed-prox,mshultz001,1,1
2016-05-3107:50:00,fixed-prox,jholly001,1,1
2016-05-3107:51:37,fixed-prox,jholly001,1,4
2016-05-3107:52:00,fixed-prox,sfusil001,1,1
2016-05-3107:52:18,fixed-prox,jholly001,2,4
2016-05-3107:52:20,fixed-prox,jholly001,2,1
2016-05-3107:52:37,fixed-prox,jholly001,2,2
2016-05-3107:52:38,fixed-prox,mshultz001,1,4
2016-05-3107:53:01,fixed-prox,vlagos001,2,7
2016-05-3107:53:19,fixed-prox,mshultz001,2,4
2016-05-3107:53:21,fixed-prox,mshultz001,2,1
2016-05-3107:53:25,fixed-prox,vlagos001,2,1
2016-05-3107:53:40,fixed-prox,mshultz001,2,7
2016-05-3107:53:49,fixed-prox,vlagos001,2,4
2016-05-3107:54:12,fixed-prox,mshultz001,2,3
2016-05-3107:54:31,fixed-prox,vlagos001,1,4
2016-05-3107:54:33,fixed-prox,vlagos001,1,1
2016-05-3107:54:34,fixed-prox,jnespola001,1,4
2016-05-3107:54:50,fixed-prox,mvollan001,1,4
2016-05-3107:54:51,fixed-prox,jcastellanos001,1,4
2016-05-3107:54:53,fixed-prox,anardi001,1,4
2016-05-3107:54:53,fixed-prox,slea001,1,4
2016-05-3107:55:00,fixed-prox,cforluniau001,1,1
2016-05-3107:55:00,fixed-prox,gflorez002,1,1
2016-05-3107:55:15,fixed-prox,jnespola001,2,4
2016-05-3107:55:17,fixed-prox,jnespola001,2,1
2016-05-3107:55:32,fixed-prox,jnespola001,2,7
2016-05-3107:55:32,fixed-prox,slea001,2,4
2016-05-3107:55:32,fixed-prox,anardi001,2,4
2016-05-3107:55:32,fixed-prox,mvollan001,2,4
2016-05-3107:55:32,fixed-prox,jcastellanos001,2,4
2016-05-3107:55:34,fixed-prox,slea001,2,1
2016-05-3107:55:34,fixed-prox,jcastellanos001,2,1
2016-05-3107:55:34,fixed-prox,mvollan001,2,1
2016-05-3107:55:34,fixed-prox,anardi001,2,1
2016-05-3107:55:53,fixed-prox,jcastellanos001,2,7
2016-05-3107:55:53,fixed-prox,slea001,2,7
2016-05-3107:55:53,fixed-prox,anardi001,2,7
2016-05-3107:55:53,fixed-prox,mvollan001,2,7
2016-05-3107:56:04,fixed-prox,jnespola001,2,3
2016-05-3107:56:25,fixed-prox,jcastellanos001,2,3
2016-05-3107:56:25,fixed-prox,mvollan001,2,3
2016-05-3107:56:25,fixed-prox,slea001,2,3
2016-05-3107:56:25,fixed-prox,anardi001,2,3
2016-05-3107:56:34,fixed-prox,gflorez002,1,4
2016-05-3107:56:34,fixed-prox,cforluniau001,1,4
2016-05-3107:56:34,fixed-prox,kherrero001,1,4
2016-05-3107:57:15,fixed-prox,cforluniau001,2,4
2016-05-3107:57:15,fixed-prox,gflorez002,2,4
2016-05-3107:57:15,fixed-prox,kherrero001,2,4
2016-05-3107:57:17,fixed-prox,cforluniau001,2,1
2016-05-3107:57:17,fixed-prox,kherrero001,2,1
2016-05-3107:57:34,fixed-prox,vlagos001,1,8
2016-05-3107:57:36,fixed-prox,cforluniau001,2,7
2016-05-3107:57:36,fixed-prox,kherrero001,2,7
2016-05-3107:57:58,fixed-prox,gflorez002,3,4
2016-05-3107:58:00,fixed-prox,gflorez002,3,1
2016-05-3107:58:01,fixed-prox,fresumir001,1,1
2016-05-3107:58:08,fixed-prox,kherrero001,2,3
2016-05-3107:58:18,fixed-prox,gflorez002,3,2
2016-05-3107:58:57,fixed-prox,fresumir001,1,4
2016-05-3107:59:00,fixed-prox,rmieshaber001,1,1
2016-05-3107:59:31,fixed-prox,sfusil001,1,7
2016-05-3107:59:38,fixed-prox,fresumir001,2,4
2016-05-3108:00:00,fixed-prox,tseifert001,1,1
2016-05-3108:00:00,fixed-prox,hcocinaro001,1,1
2016-05-3108:00:00,fixed-prox,fadair001,1,1
2016-05-3108:00:00,fixed-prox,aribera001,1,1
2016-05-3108:00:00,fixed-prox,emintz001,1,1
2016-05-3108:00:00,fixed-prox,clais001,1,1
2016-05-3108:00:00,fixed-prox,pbeebe001,1,1
2016-05-3108:00:00,fixed-prox,bovan001,1,1
2016-05-3108:00:00,fixed-prox,ncelio001,1,1
2016-05-3108:00:09,fixed-prox,fresumir001,3,4
2016-05-3108:00:11,fixed-prox,fresumir001,3,1
2016-05-3108:00:34,fixed-prox,fresumir001,3,6
2016-05-3108:00:42,fixed-prox,fresumir001,3,3
2016-05-3108:01:07,fixed-prox,fadair001,1,4
2016-05-3108:01:07,fixed-prox,ncelio001,1,4
2016-05-3108:01:07,fixed-prox,aribera001,1,4
2016-05-3108:01:07,fixed-prox,bovan001,1,4
2016-05-3108:01:07,fixed-prox,pbeebe001,1,4
2016-05-3108:01:07,fixed-prox,tseifert001,1,4
